paper_id,title,authors,year,citation_count,venue,publication_date,has_pdf,doi,arxiv_id
6abbebb1516f705feb2723df5b9d4d37a9220d63,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,Yixing Jiang; K. Black; Gloria Geng; Danny Park; James Zou,2025,18,,2025-01-24,Yes,,2501.14654
7706de6db48c21e19895fb2907359aeb2c450476,DABstep: Data Agent Benchmark for Multi-step Reasoning,Alex Egg; Martin Iglesias Goyanes; Friso Kingma; Andreu Mora; L. V. Werra,2025,17,arXiv.org,2025-06-30,Yes,10.48550/arXiv.2506.23719,2506.23719
fe6e201cbb8f05cd5035f74b156f227c5b580678,Layered Chain-of-Thought Prompting for Multi-Agent LLM Systems: A Comprehensive Approach to Explainable Large Language Models,Manish Sanwal,2025,15,arXiv.org,2025-01-29,Yes,10.48550/arXiv.2501.18645,2501.18645
a8bb8d35fed1e69da71c5668f1fe1fa43c0dde29,Human-in-the-loop active learning for goal-oriented molecule generation,Yasmine Nahal; Janosch Menke; Julien Martinelli; M. Heinonen; Mikhail Kabeshov,2024,15,Journal of Cheminformatics,2024-12-01,Yes,10.1186/s13321-024-00924-y,
8be6b0b0c7af16da10938c252db05cd8dd2f74d0,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,Rana Muhammad Shahroz Khan; Zhen Tan; Sukwon Yun; Charles Flemming; Tianlong Chen,2025,14,Annual Meeting of the Association for Computational Linguistics,2025-03-31,Yes,10.48550/arXiv.2504.00218,2504.00218
f7a636f9fba4e3e2107569a68580ed1acbb5f639,Self-Resource Allocation in Multi-Agent LLM Systems,Alfonso Amayuelas; Jingbo Yang; Saaket Agashe; Ashwin Nagarajan; Antonis Antoniades,2025,13,arXiv.org,2025-04-02,Yes,10.48550/arXiv.2504.02051,2504.02051
ebf945c38d6bccbbd337246f9bd8ddd3de192e8d,HALO: Hierarchical Autonomous Logic-Oriented Orchestration for Multi-Agent LLM Systems,Zhipeng Hou; Junyi Tang; Yipeng Wang,2025,11,arXiv.org,2025-05-17,Yes,10.48550/arXiv.2505.13516,2505.13516
4022081711542ac1b1d82ca455f2a4282d6359aa,Seven Security Challenges That Must be Solved in Cross-domain Multi-agent LLM Systems,Ronny Ko; Jiseong Jeong; Shuyuan Zheng; Chuan Xiao; Taewan Kim,2025,10,arXiv.org,2025-05-28,Yes,10.48550/arXiv.2505.23847,2505.23847
bf675da72e7f157aef6f88fa753fc15e5497cba7,LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation,Dongge Han; Camille Couturier; Daniel Madrigal Diaz; Xuchao Zhang; Victor Rühle,2025,10,arXiv.org,2025-10-06,Yes,10.48550/arXiv.2510.04851,2510.04851
25d2c50c05e9109f56b275f13948b0965edd103b,RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory,Jun Liu; Zhenglun Kong; Changdi Yang; Fan Yang; Tianqi Li,2025,9,arXiv.org,2025-08-06,Yes,10.48550/arXiv.2508.04903,2508.04903
74dcc00b879fc7c482a8769f2b8722113092209e,Beyond Static Responses: Multi-Agent LLM Systems as a New Paradigm for Social Science Research,Jennifer Haase; S. Pokutta,2025,8,arXiv.org,2025-06-02,Yes,10.48550/arXiv.2506.01839,2506.01839
973eed2ad54fdb551b88b114355bdc53ce0b808b,Accelerating earth science discovery via multi-agent LLM systems,Dmitrii Pantiukhin; Boris Shapkin; Ivan Kuznetsov; Antonia Anna Jost; Nikolay Koldunov,2025,8,Frontiers Artif. Intell.,2025-03-07,Yes,10.3389/frai.2025.1674927,2503.05854
0649854974b42995dd4b61c21905c932b8c5cbc9,RAS-Eval: A Comprehensive Benchmark for Security Evaluation of LLM Agents in Real-World Environments,Yuchuan Fu; Xiaohan Yuan; Dongxia Wang,2025,8,arXiv.org,2025-06-18,Yes,10.48550/arXiv.2506.15253,2506.15253
4f2e66aa384ecc488cfa35a980ea97fd3ce13496,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,Andrey Anurin; Jonathan Ng; K. Schaffer; Ziyue Wang; Jason Schreiber,2024,8,arXiv.org,2024-10-10,Yes,10.48550/arXiv.2410.09114,2410.09114
bb23a6573d3323b575aec1d6d43dcda202f8513b,Beyond human-in-the-loop: Sensemaking between artificial intelligence and human intelligence collaboration,Xinyue Hao; Emrah Demir; D. Eyers,2025,7,Sustainable Futures,2025-12-01,Yes,10.1016/j.sftr.2025.101152,
750212f3622acde7262c031e6ba1c11804974c7f,Parallelism Meets Adaptiveness: Scalable Documents Understanding in Multi-Agent LLM Systems,Chengxuan Xia; Qianye Wu; Sixuan Tian; Yilun Hao,2025,6,arXiv.org,2025-07-22,Yes,10.48550/arXiv.2507.17061,2507.17061
6dafab866aee42bac0e0df26f9206170e711f0e1,Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory,Sizhe Yuen; Francisco Gomez Medina; Ting Su; Yali Du; A. Sobey,2025,6,arXiv.org,2025-08-12,Yes,10.48550/arXiv.2508.08997,2508.08997
f1c9f9f11204015d2822b14d5b5595723c20ee8a,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,C. Tian; Yilei Zhang,2024,6,,2024-08-23,Yes,,2408.13406
521524075179c6b085bd0504860e5b9755554bb1,HMCF: A Human-in-the-loop Multi-Robot Collaboration Framework Based on Large Language Models,Zhaoxing Li; Wenbo Wu; Yue Wang; Yanran Xu; William Hunt,2025,5,arXiv.org,2025-05-01,Yes,10.48550/arXiv.2505.00820,2505.00820
15a3dd1719b12b30f245bef6f946371034f5253c,"The Augmented Intelligence Perspective on Human-in-the-Loop Reinforcement Learning: Review, Concept Designs, and Future Directions",K. Yau; Yasir Saleem; Yung-Wey Chong; Xiumei Fan; Jer Min Eyu,2024,5,IEEE Transactions on Human-Machine Systems,2024-12-01,Yes,10.1109/THMS.2024.3467370,
a722d114b78182585c159f678fe86c9a7aae8181,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,Haoyang Liu; Shuyu Chen; Ye Zhang; Haohan Wang,2024,5,,2024-06-21,Yes,,2406.15341
7c2222819c7bbe9f13ecce02718ee73649308abe,Test Amplification for REST APIs via Single and Multi-Agent LLM Systems,Robbe Nooyens; Tolgahan Bardakci; Mutlu Beyazıt; Serge Demeyer,2025,4,International Conference on Testing Software and Systems,2025-04-10,Yes,10.48550/arXiv.2504.08113,2504.08113
7e4d3b819547212190325d0771cafebcd009f241,LoCoBench-Agent: An Interactive Benchmark for LLM Agents in Long-Context Software Engineering,Jielin Qiu; Zuxin Liu; Zhiwei Liu; Rithesh Murthy; Jianguo Zhang,2025,4,arXiv.org,2025-11-17,Yes,10.48550/arXiv.2511.13998,2511.13998
8622333e08ee2c1911efe78fbaeeec86240d3e8f,CryptoBench: A Dynamic Benchmark for Expert-Level Evaluation of LLM Agents in Cryptocurrency,Jiacheng Guo; Suozhi Huang; Zixin Yao; Yifan Zhang; Yifu Lu,2025,4,arXiv.org,2025-11-29,Yes,10.48550/arXiv.2512.00417,2512.00417
08d2962e065bfd2f7f0055932db62f5407a98d27,Specification and Evaluation of Multi-Agent LLM Systems - Prototype and Cybersecurity Applications,Felix Härer,2025,3,2025 International Conference on Cybersecurity and AI-Based Systems (Cyber-AI),2025-06-12,Yes,10.1109/Cyber-AI66431.2025.11233474,2506.10467
bd7107b697981c50cf683b6b5df762f8a82b81e6,CoTGuard: Using Chain-of-Thought Triggering for Copyright Protection in Multi-Agent LLM Systems,Yan Wen; Junfeng Guo; Heng Huang,2025,3,arXiv.org,2025-05-26,Yes,10.48550/arXiv.2505.19405,2505.19405
7cac6fd998b511d0e58d6463e8212a0c3d3c28cd,Modeling Response Consistency in Multi-Agent LLM Systems: A Comparative Analysis of Shared and Separate Context Approaches,Tooraj Helmi,2025,3,arXiv.org,2025-04-09,Yes,10.48550/arXiv.2504.07303,2504.07303
b281a29ea6a293a5c9533439901758cdf425d48d,Towards Effective Human-in-the-Loop Assistive AI Agents,Filippos Bellos; Yayuan Li; C. Shu; Ruey Day; J. Siskind,2025,3,2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),2025-07-24,Yes,10.1109/ICCVW69036.2025.00264,2507.18374
3725df5fdccbe583dd057f63b4256e710d19989f,Context-aware LLM-based AI Agents for Human-centered Energy Management Systems in Smart Buildings,Tianzhi He; F. Jazizadeh,2025,3,arXiv.org,2025-12-31,Yes,10.48550/arXiv.2512.25055,2512.25055
c4ed686f8994dcd9fc3efe8cabc0ad24c0f5f0b9,Toward Neurodivergent-Aware Productivity: A Systems andAI-Based Human-in-the-Loop Framework for ADHD-AffectedProfessionals,Raghavendra Deshmukh,2025,3,ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction,2025-07-09,Yes,10.1145/3750069.3750114,2507.06864
4a222dc3bf0c3faef606cd7e376e9f401b8a97ff,MALIBU Benchmark: Multi-Agent LLM Implicit Bias Uncovered,Imran M. Mirza; Cole Huang; Ishwara Vasista; Rohan Patil; Aslihan Akalin,2025,3,arXiv.org,2025-04-10,Yes,10.48550/arXiv.2507.01019,2507.01019
fbfe74a4b0afe303b738057a0571cd4a999767fd,Automatically Benchmarking LLM Code Agents through Agent-Driven Annotation and Evaluation,Lingyue Fu; Bolun Zhang; Hao Guan; Yaoming Zhu; Lin Qiu,2025,3,arXiv.org,2025-10-28,Yes,10.65109/HJFB4234,2510.24358
d626f3d94501d01ee537017640ebae5a8493bf0b,Automating Thematic Analysis with Multi-Agent LLM Systems,Sreecharan Sankaranarayanan; Conrad Borchers; Sebastian Simon; Elham Tajik; Amine Hatun Ataş,2025,2,LAK Workshops,,Yes,,
cfc66734f49232637339326710ed578a6e1f32b7,Human-in-the-Loop VR Training with Live Actor Embodiment for Police Traffic Stop De-escalation,J. Grandi; D. B. Costa; Regis Kopper,2025,2,Symposium on Spatial User Interaction,2025-11-09,Yes,10.1145/3694907.3765923,
d69c44c5692a0af2d1263f62689922f58b22e10b,ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,Ahmed Allam; Youssef Mansour; Mohamed Shalan,2025,2,2025 IEEE International Conference on LLM-Aided Design (ICLAD),2025-06-26,Yes,10.1109/ICLAD65226.2025.00033,2508.15940
5e1e0cf1bb6c1c70149fcd88b0060ed881cc481e,"Solving Multi-agent Path Finding as an LLM Benchmark: How, How Good and Why",Weizhe Chen; Sven Koenig; B. Dilkina,2025,2,Trans. Mach. Learn. Res.,,Yes,,
6aba9c3fc42286af5e8d42712c07a1033a763cc2,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,Ishan Kavathekar; Hemang Jain; Ameya Rathod; P. Kumaraguru; Tanuja Ganu,2025,1,arXiv.org,2025-11-07,Yes,10.48550/arXiv.2511.05269,2511.05269
34857543592ddf59a7531f7b77ebece5e2197c4b,EduThink4AI: Translating Educational Critical Thinking into Multi-Agent LLM Systems,Xinmeng Hou; Zhouquan Lu; Wenli Chen; Hai Hu; Qing Guo,2025,1,arXiv.org,,Yes,10.48550/arXiv.2507.15015,
f46e7e843b11aae497e1a5514af11948ed4d75b8,Building from Scratch: A Multi-Agent Framework with Human-in-the-Loop for Multilingual Legal Terminology Mapping,Lingyi Meng; Maolin Liu; Hao Wang; Yilan Cheng; Qi Yang,2025,1,Artificial Intelligence and Law,2025-11-11,Yes,10.1007/s10506-025-09490-6,2512.12950
4905fd2173e6ea6aa766e7da3631926dd1e71e26,SmartAvatar: Text- and Image-Guided Human Avatar Generation with VLM AI Agents,Alexander Huang-Menders; Xinhang Liu; Andy Xu; Yuyao Zhang; Chi-Keung Tang,2025,1,arXiv.org,2025-06-05,Yes,10.48550/arXiv.2506.04606,2506.04606
98bad1a9948b84ccbb81eed3dfaf117080639d04,"AI-in-the-Loop Planning for Transportation Electrification: Case Studies from Austin, Texas",S. Choi,2025,1,arXiv.org,2025-04-29,Yes,10.48550/arXiv.2504.21185,2504.21185
25cc8cc96ea810b2dd4a2edec371254a2766bbdf,Dynamic Architectures Leveraging AI Agents and Human-in-the-Loop for Data Center Management,Violet Deepa Sera; S. Kalra,2025,0,2025 IEEE 22nd International Conference on Software Architecture Companion (ICSA-C),2025-03-31,Yes,10.1109/ICSA-C65153.2025.00053,
5724ec9a7d06191b3b3b64f752076efb56148683,Human-in-the-Loop and Generative AI Dilemma: A Hybrid Strategy for Effective Customer Service in Enterprise CRM,,2025,0,International Journal of Business and Technology Management,2025-12-01,Yes,10.55057/ijbtm.2025.7.10.18,
ce86a45765a936b3e719bb82686f8a21ffd80cd3,A Driver-in-the-Loop Study of Human-AI Joint Replanning,Salvatore Hargis; Connor Kannally; Martijn Ijtsma,2025,0,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,2025-07-13,Yes,10.1177/10711813251358791,
a61328444984845c84fa15c78761d03229b36438,A Study about Distribution and Acceptance of Conversational Agents for Mental Health in Germany: Keep the Human in the Loop?,Christina Lukas,2025,0,arXiv.org,2025-01-05,Yes,10.48550/arXiv.2502.00005,2502.00005
aa6be0adc03a7861818b3cc36afd13705cac9007,"Ethical and Trustworthy Autonomous Agents in Network SecOps: Transparency, Auditing, and Human-in-the-Loop Overrides",Amar Gurajapu; Swapna Anumolu; Vardhan Garimella; Venkata Manikanta; Sai Ramakrishna Chundi,2025,0,Frontiers in Computer Science and Artificial Intelligence,2025-02-19,Yes,10.32996/jcsts.2025.4.2.7,
8052b7585af6fe936a2c7b44cef54fb01605253a,Orchestrating Trustworthy Text-to-SQL: Leveraging Stateful Graph Frameworks like LangGraph for Human-in-the-Loop Validation in Enterprise Environments,Junaid Syed; Sultan Syed; Bushra Aijaz; Mohammad Ahmad,2025,0,World Journal of Advanced Engineering Technology and Sciences,2025-06-30,Yes,10.30574/wjaets.2025.15.3.1110,
46cdc6ec766d04e4c35aba1b59b86a61079af940,Towards a Human-in-the-Loop System for Authoring Game AI using Behavior Languages,Erica Kleinman; Spencer Lynn; Bryan Loyall; M. S. El-Nasr,2023,0,International Conference on Foundations of Digital Games,2023-04-12,Yes,10.1145/3582437.3587179,
